iter	Passed	Remaining
668	45074	42783
669	45121	42697
670	45168	42610
671	45216	42525
672	45262	42438
673	45326	42367
674	45397	42303
675	45474	42245
676	45531	42169
677	45601	42103
678	45651	42020
679	45745	41977
680	45807	41906
681	45888	41851
682	45956	41784
683	46007	41702
684	46062	41623
685	46122	41550
686	46188	41482
687	46264	41423
688	46317	41343
689	46376	41268
690	46435	41193
691	46501	41125
692	46598	41084
693	46663	41015
694	46737	40954
695	46792	40876
696	46854	40804
697	46904	40721
698	46954	40640
699	47015	40567
700	47071	40491
701	47125	40412
702	47268	40409
703	47384	40384
704	47467	40330
705	47557	40282
706	47630	40220
707	47726	40176
708	47803	40117
709	47879	40057
710	47958	39998
711	48036	39940
712	48102	39871
713	48161	39797
714	48226	39727
715	48318	39680
716	48393	39619
717	48472	39560
718	48543	39496
719	48593	39415
720	48649	39337
721	48707	39262
722	48763	39186
723	48822	39111
724	48872	39030
725	48919	38947
726	48965	38862
727	49020	38785
728	49074	38707
